datetime,load
2024-01-04 19:55:00,4224.85
2024-01-04 20:00:00,4160.88
2024-01-04 20:05:00,4088.44
2024-01-04 20:10:00,4091.38
2024-01-04 20:15:00,4070.71
2024-01-04 20:20:00,4080.49
2024-01-04 20:25:00,4088.28
2024-01-04 20:30:00,4028.29
2024-01-04 20:35:00,3993.4
2024-01-04 20:40:00,4015.8
2024-01-04 20:45:00,3998.07
2024-01-04 20:50:00,4024.25
2024-01-04 20:55:00,3987.47
2024-01-04 21:00:00,3903.92
2024-01-04 21:05:00,3882.61
2024-01-04 21:10:00,3834.95
2024-01-04 21:15:00,3873.13
2024-01-04 21:20:00,3849.77
2024-01-04 21:25:00,3847.03
2024-01-04 21:30:00,3848.39
2024-01-04 21:35:00,3843.41
2024-01-04 21:40:00,3828.25
2024-01-04 21:45:00,3777.16
2024-01-04 21:50:00,3767.88
2024-01-04 21:55:00,3714.51
2024-01-04 22:00:00,3705.72
2024-01-04 22:05:00,3607.55
2024-01-04 22:10:00,3565.9
2024-01-04 22:15:00,3530.37
2024-01-04 22:20:00,3489.56
2024-01-04 22:25:00,3463.67
2024-01-04 22:30:00,3406.93
2024-01-04 22:35:00,3344.15
2024-01-04 22:40:00,3332.12
2024-01-04 22:45:00,3239.96
2024-01-04 22:50:00,3197.08
2024-01-04 22:55:00,3162.54
2024-01-04 23:00:00,3098.87
2024-01-04 23:05:00,3026.56
2024-01-04 23:10:00,3001.07
2024-01-04 23:15:00,2934.47
2024-01-04 23:20:00,2914.5
2024-01-04 23:25:00,2914.5
2024-01-04 23:30:00,2914.5
2024-01-04 23:35:00,2914.5
2024-01-04 23:40:00,2914.5
2024-01-04 23:45:00,2914.5
2024-01-04 23:50:00,2914.5
2024-01-04 23:55:00,2914.5
2024-01-05 00:00:00,2497.52
2024-01-05 00:05:00,2466.83
2024-01-05 00:10:00,2425.53
2024-01-05 00:15:00,2373.75
2024-01-05 00:20:00,2340.39
2024-01-05 00:25:00,2314.37
2024-01-05 00:30:00,2284.51
2024-01-05 00:35:00,2251.13
2024-01-05 00:40:00,2223.16
